,bgdes,bgblng,bgrsi,bgsma,Unnamed: 0,blngbnd,sma,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,emir,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,desindic,downBand,upBand,sigma,bho20,rsi,uho21,uho5,bho21,bho5,Date,Close
0,"[0, 0, 0.2910662824207498, 0.7089337175792503, 0]","[0.14452112600845696, 0.8554788739915431, 0]","[0, 0, 1]","[0, 0, 0]",2,42.77394369957715,0.4846666666666728,2,2,2,sat,2,2,2,2,2,2,2,2,2,2,2,67.72334293948126,25.145253537753838,29.48141312891283,1.032418950275948,27.31333333333333,83.03747534516762,27.69421771095294,27.565252057613172,27.31333333333333,27.798,2005-03-11,27.0
1,"[0, 0, 0, 0.5187319884726196, 0.4812680115273804]","[0, 0.8355427894879913, 0.16445721051200862]","[0, 0.2343470483005376, 0.7656529516994623]","[0, 0, 1]",3,58.22286052560043,0.4560000000000031,3,3,3,sat,3,3,3,3,3,3,3,3,3,3,3,87.03170028818451,25.26259292832785,29.39740707167215,0.9844795579391178,27.33,75.31305903398925,27.319884631517528,27.09127443415637,27.33,27.785999999999998,2005-03-14,27.67
2,"[0, 0, 0, 0.23054755043227487, 0.7694524495677251]","[0, 0.6874867274650733, 0.3125132725349266]","[0, 0.5321252059308073, 0.46787479406919275]","[0, 0, 1]",4,65.62566362674633,0.41000000000000014,4,4,4,al,4,4,4,4,4,4,4,4,4,4,4,94.23631123919313,25.31608426109097,29.28391573890902,0.9447217804328656,27.3,69.35749588138385,27.50867233020906,27.570550411522635,27.3,27.71,2005-03-15,27.92
3,"[0, 0, 0.037463976945248306, 0.9625360230547517, 0]","[0.05742057761678424, 0.9425794223832158, 0]","[0, 0.37982195845697364, 0.6201780415430264]","[0, 0, 1]",5,47.12897111916079,0.3231666666666726,5,5,5,sat,5,5,5,5,5,5,5,5,5,5,5,74.06340057636879,25.400630992405553,29.26103567426113,0.9191439718703714,27.33083333333333,72.40356083086053,27.730466661959078,27.85874485596708,27.33083333333333,27.654000000000003,2005-03-16,27.22
4,"[0, 0, 0.4870317002881859, 0.5129682997118141, 0]","[0.2941770368593278, 0.7058229631406722, 0]","[0, 0.330472103004292, 0.669527896995708]","[0, 0.018516559094306707, 0.9814834409056933]",6,35.29114815703361,0.23784615384614935,6,6,6,sat,6,6,6,6,6,6,6,6,6,6,6,62.82420749279535,25.51960565332187,29.232702038985828,0.8840705680152293,27.37615384615385,73.39055793991416,27.455215030510555,27.323456790123448,27.37615384615385,27.614,2005-03-17,26.83
5,"[0, 0, 0, 0.7838616714697395, 0.21613832853026055]","[0, 0.958617963330566, 0.04138203666943397]","[0, 0.6644993498049431, 0.3355006501950569]","[0, 0.6162310866574575, 0.3837689133425425]",7,52.0691018334717,0.09300000000001064,7,7,7,al,7,7,7,7,7,7,7,7,7,7,7,80.40345821325651,25.55261941083005,29.17738058916995,0.863038375795213,27.365,66.71001300390114,27.118089278764664,26.909297839506173,27.365,27.45800000000001,2005-03-18,27.44
6,"[0, 0, 0.2910662824207498, 0.7089337175792503, 0]","[0.187987484109796, 0.8120125158902041, 0]","[0, 1, 0]","[0, 0, 0]",8,40.6006257945102,-0.001333333333320752,8,8,8,kuvvetli al,8,8,8,8,8,8,8,8,8,8,8,67.72334293948126,25.57744365358749,29.081223013079185,0.8342331808313552,27.32933333333333,50.0,27.2916685892347,27.348656121399173,27.32933333333333,27.32800000000001,2005-03-21,27.0
7,"[0, 0, 0.37175792507204675, 0.6282420749279533, 0]","[0.23828607607873592, 0.761713923921264, 0]","[0, 1, 0]","[0, 0.6709078404401518, 0.3290921595598481]",9,38.0856961960632,0.0797500000000042,9,9,9,al,9,9,9,9,9,9,9,9,9,9,9,65.70605187319883,25.63136649742485,29.04113350257516,0.8118492869405523,27.33625,51.71849427168576,27.134396310725798,27.05514403292181,27.33625,27.416000000000004,2005-03-22,26.93
8,"[0, 0.6167146974063377, 0.38328530259366234, 0, 0]","[0.8807602987321685, 0.11923970126783144, 0]","[0, 1, 0]","[0, 0, 0]",10,5.961985063391572,-0.034470588235286925,10,10,10,kuvvetli al,10,10,10,10,10,10,10,10,10,10,10,34.58213256484156,25.651465262329666,28.98147591414093,0.7928596790026822,27.316470588235287,40.10600706713783,27.024182613765806,26.94786522633745,27.316470588235287,27.281999999999996,2005-03-23,25.85
9,"[0, 0.9625360230547532, 0.037463976945246884, 0, 0]","[0.9906348043126652, 0.009365195687334875, 0]","[0, 1, 0]","[0, 0, 0]",11,0.4682597843667437,-0.21100000000000207,11,11,11,kuvvetli al,11,11,11,11,11,11,11,11,11,11,11,25.936599423631172,25.53350323812241,29.056496761877604,0.8388079818464756,27.295,44.077669902912646,26.39104492987248,26.030060442386823,27.295,27.084,2005-03-24,25.55
10,"[0, 0.7665706051873206, 0.23342939481267946, 0, 0]","[0.7951399985620294, 0.2048600014379706, 0]","[0, 1, 0]","[0, 0, 0]",12,10.24300007189853,-0.4089473684210532,12,12,12,kuvvetli al,12,12,12,12,12,12,12,12,12,12,12,30.835734870316987,25.333810950769035,29.10408378607308,0.8976840084057246,27.21894736842105,37.39703459637565,25.937540310823593,25.627134773662554,27.21894736842105,26.809999999999995,2005-03-28,25.72
11,"[1.0, 0.0, 0, 0, 0]","[0, 0, 0]","[0.03448275862068684, 0.9655172413793132, 0]","[0, 0, 0]",13,-13.465392162298693,-0.5814999999999984,13,13,13,kuvvetli al,13,13,13,13,13,13,13,13,13,13,13,0.0,25.531870107668556,28.739129892331448,0.7636332820625911,27.1355,29.310344827586263,25.820239162830482,25.70158179012345,27.1355,26.554,2005-03-29,25.1
12,"[1.0, 0.0, 0, 0, 0]","[0, 0, 0]","[0.03448275862068915, 0.9655172413793108, 0]","[0, 0, 0]",14,-17.665821943444637,-0.8580952380952382,14,14,14,kuvvetli al,14,14,14,14,14,14,14,14,14,14,14,0.0,25.312868204747364,29.065131795252643,0.8933960929774477,27.189000000000004,29.310344827586217,25.43187490836307,25.19737011316873,27.06809523809524,26.21,2005-03-30,24.65
13,"[1.0, 0.0, 0, 0, 0]","[0.06851520996702987, 0, 0]","[0.1507936507936492, 0.8492063492063509, 0]","[0, 0, 0]",15,-16.455444443749364,-1.2595238095238095,15,15,15,kuvvetli al,15,15,15,15,15,15,15,15,15,15,15,0.0,24.90365833664033,29.301341663359672,1.0470674587426998,27.10250000000001,26.984126984127016,25.010275693069246,24.738342335390943,27.089523809523808,25.83,2005-03-31,24.18
